#,Name,Pattern,Type,Date Started,Date Finished,Colors,Length,How many strings?,Where is it going?,,,,
29,Diamonds and diamond boxes,https://www.braceletbook.com/patterns/normal/185899/,Normal,6/21/2025,6/22/2025,5,Bracelet,24,Gave away,,,,
30,Green crosses and white slavic,https://www.braceletbook.com/patterns/normal/109688/,Normal,6/24/2025,6/25/2025,3,Bracelet,18,Giving away,,,,
31,Blue gradient white diamond,https://www.braceletbook.com/patterns/normal/81324/,Normal,6/25/2025,6/25/2025,5,Bracelet,16,Gave away,,,,
32,Short n' Sweet cover,https://www.braceletbook.com/patterns/alpha/171535/,Alpha,6/25/2025,6/26/2025,6,Keychain,20,Gave away,,,,
33,Tiger face with eyes,https://www.braceletbook.com/patterns/alpha/18657/,Alpha,6/26/2025,6/27/2025,5,Bookmark,17,Sold,,,,
34,Derpy fox,https://www.braceletbook.com/patterns/alpha/57955/,Alpha,6/27/2025,6/28/2025,4,Keychain,21,Sold,,,,
35,Lumon industries,https://www.braceletbook.com/patterns/alpha/191483/,Alpha,6/28/2025,6/29/2025,2,Keychain,33,Keeping,,,,
36,Green and blue knots,https://www.braceletbook.com/patterns/normal/115389/,Normal,6/30/2025,7/1/2025,3,Bracelet,24,Gave away,,,,
37,Pastel outline,https://www.braceletbook.com/patterns/normal/88483/,Normal,7/1/2025,7/2/2025,3,Bracelet,26,Keeping,,,,
38,Blue and green boho,https://www.braceletbook.com/patterns/normal/173381/,Normal,7/2/2025,7/3/2025,4,Bracelet,16,Giving away,, ,,
39,Light and dark green outlines,https://www.braceletbook.com/patterns/normal/72322/,Normal,7/3/2025,7/4/2025,4,Bracelet,20,Gave away,,,,.
40,Summer I turned pretty,https://www.braceletbook.com/patterns/normal/27126/,Normal,7/4/2025,7/4/2025,5,Bracelet,12,Keeping,,,,
41,Pink pony club,https://www.braceletbook.com/patterns/alpha/170103/,Alpha,7/5/2025,7/5/2025,3,Keychain,15,Selling,,,,
42,Blue gradient snowflakes,https://www.braceletbook.com/patterns/normal/128614/,Normal,7/5/2025,7/6/2025,4,Bracelet,24,Gave away,,,,
43,Dappled yellow celtic,https://www.braceletbook.com/patterns/normal/45156/,Normal,7/7/2025,7/8/2025,3,Bracelet,22,Keeping,,,,
44,Pastel rainbow vertical wave,https://www.braceletbook.com/patterns/alpha/15234/,Alpha,7/8/2025,7/10/2025,2,Bracelet,8,Keeping,,,,
45,Purple starburst,https://www.braceletbook.com/patterns/normal/25054/,Normal,7/12/2025,7/13/2025,6,Bracelet,34,Keeping,,,,
46,3D green butterfly,https://www.braceletbook.com/patterns/alpha/167858/,Alpha,7/13/2025,7/14/2025,3,Bracelet,10,Keeping,,,,
47,Wolf with trees in head,https://www.braceletbook.com/patterns/alpha/100477/,Alpha,7/14/2025,7/16/2025,5,Bookmark,34,Selling,,,,
48,Multicolored celtic knots & x's,https://www.braceletbook.com/patterns/normal/144441/,Normal,7/16/2025,7/17/2025,5,Bracelet,26,Gave away,,,,
49,Turquiose snowflakes,https://www.braceletbook.com/patterns/normal/37431/,Normal,7/19/2025,7/19/2025,4,Bracelet,18,Gave away,,,,
50,PBY varigated diamonds,https://www.braceletbook.com/patterns/normal/33730/,Normal,7/19/2025,7/20/2025,3,Bracelet,14,Gave away,,,,
51,Red outline celtic crosses,https://www.braceletbook.com/patterns/normal/88484/,Normal,7/23/2025,7/24/2025,3,Bracelet,26,Gave away,,,,
52,Shaped med silver wings,https://www.braceletbook.com/patterns/alpha/141460/,Alpha,7/25/2025,7/25/2025,3,Bracelet,16,Selling,,,,
53,Night sky with trees,https://www.braceletbook.com/patterns/alpha/97039/,Alpha,7/25/2025,7/29/2025,6,Bookmark,36,Keeping,,,,
54,Pink shaped bow,https://www.braceletbook.com/patterns/alpha/169435/,Alpha,7/25/2025,7/26/2025,2,Bracelet,13,Sold,,,,
55,Shaped light silver wings,https://www.braceletbook.com/patterns/alpha/141460/,Alpha,7/26/2025,7/27/2025,3,Bracelet,16,Keeping,,,,
56,Yellow starburst,https://www.braceletbook.com/patterns/normal/25054/,Normal,7/31/2025,8/1/2025,6,Bracelet,34,Keeping,,,,
57,Shaped red panada,https://www.braceletbook.com/patterns/alpha/137408/,Alpha,8/1/2025,8/2/2025,5,Bracelet,9,Selling,,,,
58,Orange rag rug,https://www.braceletbook.com/patterns/alpha/36730/,Alpha,8/2/2025,8/3/2025,,Bracelet,12,Selling,,,,
59,Orange rag rug,https://www.braceletbook.com/patterns/alpha/36730/,Alpha,8/3/2025,8/4/2025,,Bracelet,12,Selling,,,,
60,Bright blue Greek wave,https://www.braceletbook.com/patterns/normal/25105/,Normal,8/7/2025,8/7/2025,2,Bracelet,12,Selling,,,,
61,Darker red Greek wave,https://www.braceletbook.com/patterns/normal/25105/,Normal,8/7/2025,8/7/2025,2,Bracelet,12,Selling,,,,
62,Purple Greek wave,https://www.braceletbook.com/patterns/normal/25105/,Normal,8/7/2025,8/7/2025,2,Bracelet,12,Selling,,,,
63,3D indigo butterfly,https://www.braceletbook.com/patterns/alpha/167858/,Alpha,8/8/2025,8/8/2025,3,Bracelet,10,Keeping,,,,
64,3D purple butterfly,https://www.braceletbook.com/patterns/alpha/167858/,Alpha,8/8/2025,8/8/2025,3,Bracelet,10,Sold,,,,
65,3D pink butterfly with choco covered strawberry vine,https://www.braceletbook.com/patterns/alpha/165142/,Alpha,8/8/2025,8/9/2025,11,Bookmark,10,Sold,,,,
66,3D green butterfly,https://www.braceletbook.com/patterns/alpha/167858/,Alpha,8/11/2025,8/12/2025,3,Hairpiece,10,Keeping,,,,
67,3D orange butterfly,https://www.braceletbook.com/patterns/alpha/167858/,Alpha,8/12/2025,8/12/2025,3,Bracelet,10,Selling,,,,
68,3D yellow butterfly,https://www.braceletbook.com/patterns/alpha/167858/,Alpha,8/12/2025,8/13/2025,3,Bracelet,10,Selling,,,,
69,3D blue butterfly,https://www.braceletbook.com/patterns/alpha/167858/,Alpha,8/13/2025,8/13/2025,3,Bracelet,10,Selling,,,,
70,3D redish butterfly,https://www.braceletbook.com/patterns/alpha/167858/,Alpha,8/13/2025,8/13/2025,3,Bracelet,10,Selling,,,,
71,3D green butterfly,https://www.braceletbook.com/patterns/alpha/167858/,Alpha,8/13/2025,8/13/2025,3,Bracelet,10,Selling,,,,
72,Shaped brown bear,https://www.braceletbook.com/patterns/alpha/137021/,Alpha,8/13/2025,8/14/2025,3,Bracelet,9,Selling,,,,
73,Shaped duck,https://www.braceletbook.com/patterns/alpha/101076/,Alpha,8/14/2025,8/14/2025,5,Bracelet,9,Selling,,,,
74,Shaped kitty,https://www.braceletbook.com/patterns/alpha/151604/,Alpha,8/14/2025,8/14/2025,5,Bracelet,12,Selling,,,,
75,4-leaf clover chain,https://www.braceletbook.com/patterns/normal/173496/,Normal,8/14/2025,8/14/2025,3,Bracelet,10,Selling,,,,
76,4-leaf clover chain,https://www.braceletbook.com/patterns/normal/173496/,Normal,8/14/2025,8/14/2025,3,Bracelet,10,Selling,,,,
77,Blue and pink butterfly chain,https://www.braceletbook.com/patterns/normal/163775/,Normal,8/15/2025,8/15/2025,3,Bracelet,8,Selling,,,,
78,Blue and pink butterfly chain,https://www.braceletbook.com/patterns/normal/163775/,Normal,8/15/2025,8/15/2025,3,Bracelet,8,Selling,,,,
79,Ship in water with night sky,https://www.braceletbook.com/patterns/alpha/149526/,Alpha,8/15/2025,8/15/2025,8,Keychain,17,Selling,,,,
80,Shaped sword,https://www.braceletbook.com/patterns/alpha/105849/,Alpha,8/16/2025,8/16/2025,7,Bookmark,29,Keeping,,,,
81,Ship in water with day sky,https://www.braceletbook.com/patterns/alpha/143275/,Alpha,8/16/2025,8/17/2025,9,Keychain,17,Selling,,,,
82,Cowboy boots with flowers,https://www.braceletbook.com/patterns/alpha/148354/,Alpha,8/17/2025,8/17/2025,9,Keychain,20,Keeping,,,,
83,Pink bow,https://www.braceletbook.com/patterns/alpha/110717/,Alpha,8/17/2025,8/17/2025,4,Keychain,14,Selling,,,,
84,Love coffee cup,https://www.braceletbook.com/patterns/alpha/84214/,Alpha,8/17/2025,8/18/2025,6,Keychain,22,Selling,,,,
85,Shaped hammerhead,https://www.braceletbook.com/patterns/alpha/195826/,Alpha,8/18/2025,8/18/2025,2,Bracelet,14,Giving away,,,,
86,Black pink/blue road,https://www.braceletbook.com/patterns/normal/139381/,Normal,8/18/2025,8/20/2025,10,Bracelet,15,Selling,,,,
87,Mushroom chain,https://www.braceletbook.com/patterns/normal/160236/,Normal,8/21/2025,8/21/2025,4,Bracelet,6,Selling,,,,
88,Mushroom chain,https://www.braceletbook.com/patterns/normal/160236/,Normal,8/21/2025,8/21/2025,4,Bracelet,6,Selling,,,,
89,Whale chain,https://www.braceletbook.com/patterns/normal/146937/,Normal,8/21/2025,8/21/2025,3,Bracelet,8,Sold,,,,
90,Whale chain,https://www.braceletbook.com/patterns/normal/146937/,Normal,8/21/2025,8/22/2025,3,Bracelet,8,Selling,,,,
91,Strawberry chain,https://www.braceletbook.com/patterns/normal/133297/,Normal,8/22/2025,8/22/2025,4,Bracelet,8,Selling,,,,
92,Strawberry chain,https://www.braceletbook.com/patterns/normal/133297/,Normal,8/22/2025,8/22/2025,4,Bracelet,8,Selling,,,,
93,Bunny chain,https://www.braceletbook.com/patterns/normal/165832/,Normal,8/22/2025,8/22/2025,4,Bracelet,8,Selling,,,,
94,Bunny chain,https://www.braceletbook.com/patterns/normal/165832/,Normal,8/22/2025,8/22/2025,4,Bracelet,8,Selling,,,,
95,Girl in front of ocean,https://www.braceletbook.com/patterns/alpha/130828/,Alpha,8/22/2025,8/23/2025,14,Wallhanging,38,Keeping,,,,
96,Circle beach sunset,https://www.braceletbook.com/patterns/alpha/168191/,Alpha,8/23/2025,8/23/2025,5,Keychain,19,Selling,,,,
97,Pumpkin with leaves,https://www.braceletbook.com/patterns/alpha/105968/,Alpha,8/23/2025,8/24/2025,6,Bracelet,16,Keeping,,,,
98,Huntrix pastel logo,https://www.braceletbook.com/patterns/alpha/192372/,Alpha,8/24/2025,8/25/2025,5,Keychain,16,Sold,,,,
99,Hunger Games logo,https://www.braceletbook.com/patterns/alpha/15319/,Alpha,8/25/2025,8/26/2025,2,Keychain,23,Selling,,,,
100,Sunset lighthouse,https://www.braceletbook.com/patterns/alpha/151684/,Alpha,8/26/2025,8/28/2025,12,Keychain,22,Keeping,,,,
101,Shaped orca,https://www.braceletbook.com/patterns/alpha/144529/,Alpha,8/29/2025,8/29/2025,3,Bracelet,12,Sold,,,,
102,Shaped whale shark,https://www.braceletbook.com/patterns/alpha/192715/,Alpha,8/29/2025,8/30/2025,4,Bracelet,20,Selling,,,,
103,Shaped small shark,https://www.braceletbook.com/patterns/alpha/144528/,Alpha,8/30/2025,8/30/2025,5,Bracelet,12,Selling,,,,
104,Pumpkin cow,https://www.braceletbook.com/patterns/alpha/107385/,Alpha,8/30/2025,9/1/2025,7,Bracelet,12,Selling,,,,
105,Pirate ship outline,https://www.braceletbook.com/patterns/alpha/189024/,Alpha,9/1/2025,9/2/2025,8,Keychain,24,Keeping,,,,
106,Light indigo daisy chain,https://www.braceletbook.com/patterns/normal/76616/,Normal,9/11/2025,9/11/2025,3,Bracelet,6,Sold,,,,
107,Christmas daisy chain,https://www.braceletbook.com/patterns/normal/76616/,Normal,9/11/2025,9/11/2025,3,Bracelet,6,Selling,,,,
108,Christmas daisy chain,https://www.braceletbook.com/patterns/normal/76616/,Normal,9/11/2025,9/11/2025,3,Bracelet,6,Selling,,,,
109,Bright indigo daisy chain,https://www.braceletbook.com/patterns/normal/76616/,Normal,9/12/2025,9/12/2025,3,Bracelet,6,Sold,,,,
110,Witchy cauldron,https://www.braceletbook.com/patterns/alpha/194002/,Alpha,9/12/2025,9/13/2025,4,Bookmark,25,Keeping,,,,
111,Hobbit hole,https://www.braceletbook.com/patterns/alpha/129680/,Alpha,9/13/2025,9/15/2025,21,Bookmark,27,Keeping,,,,
112,Sunset mystery Braceletmakernl,https://www.braceletbook.com/patterns/normal/198354/,Normal,9/16/2025,9/24/2025,4,Bracelet,20,Keeping,,,,
112,Heart keyhole key,https://www.braceletbook.com/patterns/normal/195649/,Normal,9/16/2025,9/16/2025,1,Keychain,12,Keeping,,,,
113,Book with flowers,https://www.braceletbook.com/patterns/alpha/115816/,Alpha,9/18/2025,9/19/2025,8,Wallhanging,42,Keeping,,,,
114,Medium teal daisy chain,https://www.braceletbook.com/patterns/normal/76616/,Normal,9/19/2025,9/20/2025,3,Bracelet,6,Sold,Art fair,,,
115,Medium pink daisy chain,https://www.braceletbook.com/patterns/normal/76616/,Normal,9/20/2025,9/20/2025,3,Bracelet,6,Sold,Art fair,,,
116,Dappled orange daisy chain,https://www.braceletbook.com/patterns/normal/76616/,Normal,9/20/2025,9/20/2025,3,Bracelet,6,Sold,Art fair,,,
117,Dappled orange daisy chain,https://www.braceletbook.com/patterns/normal/76616/,Normal,9/20/2025,9/20/2025,3,Bracelet,6,Selling,Art fair,,,
118,Zoey KPDH,https://www.braceletbook.com/patterns/alpha/195406/,Alpha,9/20/2025,9/20/2025,4,Keychain,16,Selling,Art fair,,,
119,Mira KPDH,https://www.braceletbook.com/patterns/alpha/195406/,Alpha,9/20/2025,9/20/2025,5,Keychain,18,Selling,Art fair,,,
120,Rumi KPDH,https://www.braceletbook.com/patterns/alpha/195406/,Alpha,9/20/2025,9/20/2025,5,Keychain,14,Sold,Art fair,,,
121,Light pink daisy chain,https://www.braceletbook.com/patterns/normal/76616/,Normal,9/22/2025,9/22/2025,3,Bracelet,6,Selling,Art fair,,,
122,Light yellow daisy chain,https://www.braceletbook.com/patterns/normal/76616/,Normal,9/23/2025,9/23/2025,3,Bracelet,6,Selling,Art fair,,,
123,Light blue daisy chain,https://www.braceletbook.com/patterns/normal/76616/,Normal,9/23/2025,9/23/2025,3,Bracelet,6,Selling,Art fair,,,
124,Light purple daisy chain,https://www.braceletbook.com/patterns/normal/76616/,Normal,9/23/2025,9/23/2025,3,Bracelet,6,Selling,Art fair,,,
125,Bright indigo daisy chain,https://www.braceletbook.com/patterns/normal/76616/,Normal,9/23/2025,9/24/2025,3,Bracelet,6,Selling,Art fair,,,
126,Willow tree,https://www.braceletbook.com/patterns/alpha/68360/,Alpha,9/24/2025,9/26/2025,7,Wallhanging,39,Keeping,,,,
